stock_code,quantity,average_cost_price,ltp
ASHOK LEYLAND LTD,30,221.09,250.91
BANK OF BARODA,25,226.78,248.78
BANK OF MAHARASHTRA,200,48.55,57.11
KARUR VYSYA BANK LTD,100,206.46,267.54
STATE BANK OF INDIA,15,732.83,820.35
GROWW NIFTY INDIA DEFENCE ETF,1,88.19,88.52
ICICI PRUDENTIAL GOLD ETF,21,63.89,82.61
ICICI PRUDENTIAL SILVER ETF,11,92.09,107.09
MIRAE ASSET NYSE FANG ETF,4,135.79,140.96
MAHINDRA HOLIDAYS & RESORTS IN,10,299.26,337.65
NEWGEN SOFTWARE TECHNOLOGIES,2,0,1171.8
INDIAN OIL CORPORATION LIMITED,10,140.13,146.96
